orig,id,pubdate,clean,TextBlob,polarity,subjectivity,sentiment
"I don't like the #NewTwitter, this version is weird!!",2697983477,18545,"i don't like the #newtwitter, this version is weird!!","i don't like the #newtwitter, this version is weird!!",-0.78125,1.0,negative
Arghhhh...esse #newtwitter Ã© mtooo chato! :(,2707893267,18546,arghhhh...esse #newtwitter  mtooo chato! :(,arghhhh...esse #newtwitter  mtooo chato! :(,-0.75,1.0,negative
fuck'n #newtwitter you bad ass.!!!,2697821842,18545,fuck'n #newtwitter you bad ass.!!!,fuck'n #newtwitter you bad ass.!!!,-0.7,0.6333333333333333,negative
Is there not a URL shortening service built into #NewTwitter? Am I blind? Stupid? Both?,2718649841,18548,is there not a url shortening service built into #newtwitter? am i blind? stupid? both?,is there not a url shortening service built into #newtwitter? am i blind? stupid? both?,-0.6499999999999999,0.8333333333333333,negative
Shit! El #NewTwitter es horrible!!,2717383858,18547,shit! el #newtwitter es horrible!!,shit! el #newtwitter es horrible!!,-0.625,0.9,negative
Not trying #NewTwitter again till the #fail phase is over.,2716533010,18547,not trying #newtwitter again till the #fail phase is over.,not trying #newtwitter again till the #fail phase is over.,-0.5,0.3,negative
#NewTwitter kya apa to emg'e?? ga isa nyoba new twitter dr laptop~ =(,2616580673,18537,#newtwitter kya apa to emg'e?? ga isa nyoba new twitter dr laptop~ =(,#newtwitter kya apa to emg'e?? ga isa nyoba new twitter dr laptop~ =(,-0.3068181818181818,0.7272727272727273,negative
I like the #NewTwitter BUT its slow,2718115792,18547,i like the #newtwitter but its slow,i like the #newtwitter but its slow,-0.30000000000000004,0.39999999999999997,negative
Pq meu twitter tÃ¡ no #newtwitter?  Sucks...,2697708251,18545,pq meu twitter t no #newtwitter?  sucks...,pq meu twitter t no #newtwitter?  sucks...,-0.3,0.3,negative
How to customise your background for the #NewTwitter http://bit.ly/dkgjWh [BLOG] <-- I need to get round to this!,2658714519,18541,how to customise your background for the #newtwitter  [blog] <-- i need to get round to this!,how to customise your background for the #newtwitter  [blog] <-- i need to get round to this!,-0.25,0.4,negative
"I'm here on the #newtwitter. psh, I'm going back I hate new twitter",2673387653,18543,"i'm here on the #newtwitter. psh, i'm going back i hate new twitter","i'm here on the #newtwitter. psh, i'm going back i hate new twitter",-0.22121212121212122,0.4515151515151515,negative
The #newtwitter is so weird. Seriously. Why is there a new twitter? What was wrong with the old one? Fix it now.,2603135146,18536,the #newtwitter is so weird. seriously. why is there a new twitter? what was wrong with the old one? fix it now.,the #newtwitter is so weird. seriously. why is there a new twitter? what was wrong with the old one? fix it now.,-0.21939393939393934,0.6442424242424243,negative
My eyes hurt...and #newtwitter is confusing. One day it has 'Reply' and the other day it doesn't. HOW DO I REPLY? HOW DO I DELETE?,2707082708,18546,my eyes hurt...and #newtwitter is confusing. one day it has 'reply' and the other day it doesn't. how do i reply? how do i delete?,my eyes hurt...and #newtwitter is confusing. one day it has 'reply' and the other day it doesn't. how do i reply? how do i delete?,-0.2125,0.3875,negative
#newtwitter - How Can Twitter Send You Traffic Everyday?  -  http://miniurls.it/cJ2ClZ,2717847593,18547,#newtwitter - how can twitter send you traffic everyday?  -  ,#newtwitter - how can twitter send you traffic everyday?  -  ,-0.2,0.6,negative
i never got the new twitter yet :( RT @Bdert: How can I get my old twitter back...the option to leave #Newtwitter is gone...Stuck...SMH,2657191913,18541,i never got the new twitter yet :( rt @bdert: how can i get my old twitter back...the option to leave #newtwitter is gone...stuck...smh,i never got the new twitter yet :( rt @bdert: how can i get my old twitter back...the option to leave #newtwitter is gone...stuck...smh,-0.17121212121212123,0.5515151515151515,negative
i like the fact i don't have to use #newtwitter - it's actually pretty useless.,2718141943,18547,i like the fact i don't have to use #newtwitter - it's actually pretty useless.,i like the fact i don't have to use #newtwitter - it's actually pretty useless.,-0.125,0.6,negative
Simultweeting harder with #newtwitter. Have to open box to tweet. #BL10,2718684812,18548,simultweeting harder with #newtwitter. have to open box to tweet. #bl10,simultweeting harder with #newtwitter. have to open box to tweet. #bl10,-0.05,0.25,neutral
